F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,Target
0.06,-5.64,14.5,1.06,-11.2,-786.09,134.28,UK,3,2611.86,-266.76,8,-2504.52,-20.48,Low,28911.93,0
1.58,-0.87,15.32,8.96,-10.06,-741.18,135.92,USA,3,871.02,-345.57,8,-1514.74,-21.15,High,14583.18,2505.65
68.49,-2.41,6,3.78,-1.22,-837.24,54.78,UK,3,2358.84,-506.43,10,-1631.24,-12.51,Medium,-5071.23,0
0.01,1.83,3.64,3.12,-7.1,-829.26,128.72,USA,7,2127.78,-145.23,10,-2132.88,-20.67,High,38873.61,523.09
0.16,-0.02,17.2,5.85,-5.92,-935.58,177.82,USA,5,2362.35,-249.51,4,-2315.3,-18.45,High,34790.43,2260.73
1.19,2.56,2.04,2.24,0.74,-806.79,99.36,USA,4,1535.01,-336.42,6,-2651.6,-18.1,Low,20198.07,0
0.67,-4.6,6.06,2.42,-12.58,-456.36,56.42,Rest,4,1338.63,-321.69,8,-1975.86,-29.11,High,31550.43,30.47
0.22,0.6,12.4,1.38,-6.32,-810.51,165.58,UK,8,-477.87,-588.6,6,-4121.1,-20.34,Low,12603.39,1364.19
0.04,2.52,7.9,2.58,-12.5,-895.68,94.08,USA,4,454.17,-337.8,6,-2083.36,-20.61,High,7995.09,900.14
7.36,1.07,8.58,2.02,-19.46,-875.34,205.78,Europe,8,2367.45,-402.48,2,-1375.52,-16.74,Very high,10219.14,1722.09
0.02,-3.38,6.74,2.75,-8.3,-870.87,134.38,USA,4,-489.39,-226.59,6,-1706.74,-21.94,High,9150.9,1685.51
5.57,-1.15,11.92,3.8,-9.32,-738.57,8.88,UK,3,1880.01,-322.44,8,-2295.46,-19.91,Very high,22593.75,0
0.2,-5.25,12.56,8.4,-15.5,-1091.4,206.22,UK,1,1363.89,-427.77,6,-2570.26,-21.14,Very high,30721.83,2757.3
0.15,2.29,7.84,3.65,-10.92,-848.82,228.16,UK,6,2634.99,-517.5,12,-2583.38,-26.07,Very high,19350.84,1792.71
47.88,5.54,1.7,2.38,-14.02,-894.45,48.8,Europe,7,531.36,-425.91,10,-3186.22,-25.32,Medium,2987.37,0
267.01,0.91,18.54,6.62,-16.08,-819.93,83.52,Europe,3,2130.27,-254.22,10,-2322.44,-16.89,Low,44298.78,269.2
2.11,-4.22,7.74,1.97,-11,-809.25,204.3,Europe,5,1601.31,-377.52,14,-2798.48,-19.79,High,25330.92,197.51
0.1,-3.25,10.46,2,-20.58,-845.19,72.6,USA,6,1037.76,-217.23,12,-1760.18,-17.64,High,29899.23,668.66
0.39,0.78,2.22,0.5,-3,-813.87,78.92,Rest,4,-869.67,-296.76,6,-2411.74,-19.7,Low,28184.37,0
0.58,-4.09,4.12,2.21,-12.06,-898.53,121.94,Rest,3,-306.48,-387.36,12,-2609.26,-20.87,Very low,18647.64,0
53.07,0.79,3.74,1.58,-6.5,-695.67,171.52,UK,3,1929.03,-456.21,10,-1824.7,-16.06,Very high,28603.74,323.49
1.48,0.68,4.86,1.15,-11.08,-866.37,142.88,Rest,3,1208.46,-388.32,4,-1797.66,-23.02,Low,64016.16,487.88
10.43,-0.96,3.98,4.68,-2.2,-822.06,52.92,Europe,2,149.76,-374.85,4,-2177.2,-20.86,Low,18303.96,37.84
0.04,2.66,4.78,1.99,-21.12,-854.94,46.76,Europe,3,1566.33,-398.79,20,-2041.7,-32.44,High,13360.41,0
65.44,2.58,5.12,6.06,-14.18,-809.4,89.5,Rest,9,712.77,-335.82,2,-2285.4,-31.87,Medium,-2424.75,3367.45
26.08,0.02,6.68,3.95,-13.94,-798.3,36.82,UK,5,-494.61,-335.76,10,-1539.04,-19.39,Medium,9914.67,908.9
0.22,-0.09,4.56,4.45,2.32,-780.78,176.52,UK,1,711.36,-384.27,10,-3070.54,-27.57,Very high,16921.08,22.46
0.07,0.4,8.2,16.21,6.32,-855.75,71.04,UK,2,1730.34,-392.37,6,-2815.76,-17.05,Very low,25669.29,1115.28
0.12,1.66,2.18,16.09,-12.56,-824.73,46.96,Europe,4,895.32,-486.06,10,-2136.02,-17.04,High,36293.61,698.75
18.56,-3.43,2.9,2.37,0.96,-769.17,88.16,UK,6,1858.56,-377.85,10,-2129.28,-13.43,High,-15617.85,0
4.76,-0.05,1.6,3.15,-11.48,-795.48,90.9,Rest,2,824.01,-475.74,16,-1832.8,-16.77,Low,29005.5,0
2.04,1.61,14.66,1.28,0.44,-503.64,201.5,UK,4,-189.48,-329.34,10,-2391.38,-26.57,Medium,29578.92,2430.46
0.04,4.93,7.88,1.22,-9.54,-872.07,139.7,USA,3,1327.71,-465.45,4,-2660.58,-19.96,Very low,26597.7,0
0.61,-1.33,6.08,4.71,-8.12,-789.78,99.78,Europe,2,785.19,-273.75,6,-2350.92,-17.06,Low,44196.09,80.5
0.02,-1.8,6.54,4.85,-7.48,-742.23,89.12,UK,9,1603.17,-268.8,8,-1206.68,-23.83,Medium,33387.45,2399.79
0.06,1.49,2.06,0.17,-19.54,-843.27,98.66,UK,3,2419.56,-364.41,4,-2282.62,-20.99,Very high,42241.23,0
41.99,-1.43,5.54,2.87,-14.9,-842.76,-44.52,Europe,7,1882.95,-471.48,10,-3725.28,-20.35,Medium,17138.07,0
0.03,-1.23,4.82,4.02,-10.76,-853.68,158.74,Europe,2,1536.63,-361.02,6,-1804.04,-20.4,Low,6106.56,261.32
0.78,2.57,9.68,8.38,-16.92,-1097.28,155.74,Rest,3,2499.81,-406.05,8,-2204.72,-24.43,High,27134.64,2611.21
3.36,-0.27,14.04,10.76,-3.84,-758.16,53.7,Rest,5,-267.63,-481.8,12,-2918.18,-22.51,Very high,-19981.05,3300.84
3.27,-1.17,5.18,3.33,-3.62,-807.09,43.02,UK,2,208.74,-288.69,8,-2610.46,-18.97,Very low,-15201.63,0
314.12,0.53,7.24,5.06,-4.96,-824.13,110.26,Rest,4,2547.24,-366.03,6,-2580.46,-21.97,Medium,19297.92,82.44
0.03,2.83,6.68,3.03,-11.84,-739.92,254.7,UK,1,1558.89,-439.38,8,-2310.06,-23.91,High,40836.57,1750.53
3.72,0.13,1.78,1.09,-3.66,-836.52,175.22,Rest,3,824.4,-458.94,10,-1839.88,-10,Very low,28630.62,0
0.43,-0.99,9.2,3.17,-6.8,-800.07,172.54,UK,2,1507.44,-281.7,10,-1624.06,-18.24,High,22236.39,1600.29
21.19,-3.82,4.76,6.55,-3.74,-765.09,119.8,Rest,5,2062.71,-393.9,16,-1801.62,-23.08,Low,21033.81,24.04
0.15,-0.35,6.1,7.25,-9.76,-943.56,19.62,Rest,2,1013.58,-473.37,8,-2825.88,-19.95,Very low,12835.38,0
8.14,0.37,1.34,0.36,-19.9,-695.37,112.84,Europe,7,653.88,-414.69,12,-3320.54,-21.28,Very low,18283.14,0
0.18,-1.94,4.32,6.09,-17.32,-738.84,138.68,USA,3,812.16,-330.78,6,-2690.28,-28.35,Medium,17705.7,652.31
0.05,3.91,1.34,2.12,-17.52,-819.9,99.44,Rest,7,2093.04,-377.64,14,-2552.52,-12.76,Medium,21416.97,0
0.73,2.07,13.22,4.01,-3.16,-995.1,192.42,USA,5,756.78,-335.43,8,-1519.14,-20.66,Low,26896.02,2144.57
169.14,1.21,2.38,3,-14.22,-806.52,87.08,Rest,6,2621.52,-254.61,0,-1437.66,-24.45,Very low,26975.34,319.32
3.87,3.51,10.42,1.52,-9.52,-690.87,79.36,Rest,6,1766.1,-351.51,4,-2607.68,-19.13,Medium,50918.61,304.96
6.78,0.97,4.84,0.56,-12.92,-1121.28,109.9,Europe,2,1814.01,-507.99,4,-1930.26,-17.58,Low,12874.53,0
2.88,-2.06,8.48,4.34,-11.4,-894.18,167.18,Europe,6,2429.91,-366,8,-3211.98,-21.87,Medium,26452.83,184.2
0.53,-1.72,5.26,4.21,-6.88,-822.93,136.18,UK,6,357.33,-438.36,4,-1287.16,-20.7,Very low,21804.09,2447.35
0.05,1.37,2.04,2.5,-8.16,-868.38,113.66,UK,3,2937.9,-322.86,8,-2754.28,-20.77,Very low,12035.07,0
0.05,2.26,1.68,8.68,-10.66,-993.42,111.5,USA,5,1685.16,-362.19,8,-1072.58,-18.57,Medium,-1711.26,1394.21
0,0.15,16.1,4.49,-6.1,-632.73,68.26,Europe,3,-696.99,-316.77,8,-1814.96,-23.11,Very high,29361.57,1146.57
7.32,-6.78,6.26,6.2,-8.3,-806.37,152.72,USA,7,2011.44,-336.45,10,-1889.02,-8.76,Very high,-5922.99,1626.28
130.96,1.6,7.94,8.75,-6.96,-627.33,248.72,UK,6,1694.7,-483.12,8,-2535.98,-19.9,Very high,26492.49,2904.53
150.67,2.39,11.72,8.12,-13.46,-759.12,136.66,UK,3,1242.06,-442.05,6,-1836.96,-19.75,Very low,16741.83,2184.74
74.62,-0.11,21.52,4.27,-19.5,-833.19,117.02,Rest,6,1783.44,-292.95,8,-2564.42,-7.38,Very high,20050.53,3546.01
0.02,-1.6,8.54,3.35,-4.48,-709.8,148.88,Rest,2,1286.34,-235.02,8,-2324.4,-17.02,Medium,39279.57,543.34
0.09,0.69,4.54,1.4,-12.76,-829.17,147.88,USA,4,977.16,-201.54,2,-2825.32,-21.84,Medium,4746.42,461.8
0.2,-3.26,0.76,2.69,-5.3,-1050.48,147.12,USA,5,1665.6,-409.92,10,-2442.14,-20.26,Low,33538.98,0
0.84,1,8.7,1.52,-20.08,-834.45,119.54,Europe,3,-33.96,-507.78,6,-2079.06,-20.91,Medium,27812.73,395.47
0.08,1.26,11.4,9.12,-6.98,-857.79,107.32,UK,6,1023.54,-283.11,6,-1746.64,-24.63,Medium,41922.09,2814.04
0.77,-2.01,3,3.17,-12.12,-987.84,226.94,Europe,3,1630.89,-420.24,6,-2221.02,-18.69,High,42742.86,545.06
12.81,-5.88,1.06,8.65,-0.86,-721.14,178.1,UK,5,1217.85,-383.73,10,-2071.76,-20.39,Low,8918.91,1629.55
1.42,-6.35,2.48,1.41,-5.62,-819.24,75,UK,4,1958.82,-205.77,6,-2325.92,-20.6,Very low,24060.78,0
34.93,-0.65,5.24,0.89,-13.96,-704.7,-2.7,USA,6,2496.45,-413.64,10,-2598.72,-16.04,Low,27616.17,0
21.95,-0.54,7.72,2.87,-1.74,-866.13,177.7,Rest,6,1378.26,-365.28,6,-2040.86,-20.51,High,13816.5,3248.36
0.14,0.24,10.24,7.81,-12.12,-764.34,16.18,USA,4,2686.65,-215.4,10,-633.78,-20.83,High,30291.24,959.7
0.59,2.14,6.2,4.58,-15.7,-790.32,125.68,Europe,5,1156.44,-467.7,12,-3453.44,-20.11,High,2133.96,0
0.16,0.57,13.68,1.55,-20.64,-641.76,108.78,Europe,6,1636.38,-345.45,12,-1398.5,-20.09,Very low,13191.42,289.61
6.48,-3.69,6.44,1.32,-3.3,-577.92,70.16,Europe,4,385.23,-499.05,10,-2451.02,-19.94,Low,-2386.32,0
0.01,0.43,11.02,9.44,-9.52,-1009.5,109.82,Europe,5,888.57,-308.7,10,-2643.3,-18.77,Low,38335.17,583.67
1.89,4.73,1.56,3.56,7.68,-785.85,161.74,UK,5,1550.61,-359.82,6,-1422.38,-21.35,High,-13673.43,1986.75
0.01,1.03,2.38,4.75,-12.4,-902.25,185.12,Rest,2,1687.38,-241.89,6,-1769.38,-17.37,Very low,24217.62,599.04
0.36,-3.19,17.24,9.27,-11.54,-959.01,86.24,Rest,5,1252.8,-385.32,8,-3244.62,-20.88,Very high,22599.75,3264.5
0.19,8.56,4.16,6.09,-15.88,-873.93,57.28,Europe,9,1364.43,-291.84,4,-2527.54,-24.02,Low,25687.53,327.45
0.99,-0.28,4.48,2.91,-1.28,-802.02,148.42,Rest,4,1239.42,-274.98,14,-1878.56,-20.3,High,7929.24,371.01
0.15,-0.58,12.32,1.22,-10.54,-878.76,194.74,Europe,4,3934.8,-212.7,10,-1731.72,-24.6,Very low,8350.59,82.5
2.28,5.92,10.66,3.63,-9.62,-759.96,109.52,USA,2,2186.67,-357.06,12,-1808.12,-23.75,Low,45061.2,0
4.5,-1.29,4.56,10.44,-11.32,-762.75,142.34,Rest,1,1150.5,-214.17,4,-1257.88,-22.37,Very high,10276.92,3700.86
1.7,0.14,15.2,0.34,-5.26,-567.27,63.06,Rest,4,2000.76,-207.57,4,-1422.82,-8.64,High,25520.64,1666.02
9.93,4.1,0.84,3.01,-9.5,-899.7,9.6,Rest,4,1361.25,-407.04,6,-2107.08,-17.03,High,30484.95,0
0.37,0.78,5.62,4.17,-9.2,-846.12,279.22,Europe,3,2237.67,-235.56,8,-2339.28,-31.44,Low,25017.45,541.39
0.01,1.23,5.5,0.79,-2.52,-799.05,98.64,Rest,1,78.93,-319.5,6,-1405.62,-20.29,Low,25765.35,223.23
17.38,4.8,19.12,4.67,-13.38,-843.48,178.48,Europe,6,1986.21,-214.08,8,-2704.36,-20.82,Very high,35639.64,1281.85
5.37,-2.39,7.9,0.15,-7.3,-942.57,96.18,Rest,6,1344.84,-273.33,10,-2728.82,-13.84,High,46044.63,0
41.1,-2.45,3.42,3.19,-4.06,-900.24,45.84,UK,4,689.07,-356.76,8,-1905.68,-18.93,Very high,7624.17,0
0.34,2.08,13.78,0.86,-15.6,-782.73,64.08,Rest,3,586.62,-298.44,8,-1546.28,-21.87,High,27783.21,1365.78
0.58,2.97,7.64,7.22,-9.18,-741.06,5.5,UK,3,3560.55,-314.43,6,-1989.48,-17.87,Very high,27469.47,0
0.18,-1.11,25.88,6.7,-3.54,-852.66,149.72,Europe,6,-658.56,-469.77,6,-3332.06,-24.27,High,59591.16,2131.02
0.19,-0.05,8.78,1.84,-2.48,-848.34,149.74,UK,7,3263.82,-200.28,6,-2088.12,-26.63,Low,31949.82,399.34
1.22,1.15,6.72,1.64,-8.84,-745.11,95.06,Rest,1,969.99,-415.5,8,-1987.16,-20.17,Medium,-16351.89,0
0.05,-0.36,1.82,4.15,-9.58,-811.83,112.16,USA,3,571.8,-257.82,8,-1916.06,-23.82,Low,38435.64,209.77
0.02,0.06,6.42,5.13,-5.08,-734.46,204.04,UK,5,1380.27,-485.97,4,-1441.82,-18.19,Very high,28189.38,2908.23
0.45,-2.39,6.02,0.8,-15.16,-886.32,96.64,Europe,3,-709.5,-556.47,10,-2377.42,-23.05,Very low,-8771.13,0
44.55,0.25,2.92,4.92,-5.52,-890.61,183.46,UK,7,2528.88,-273.42,0,-2275.88,-17.2,Medium,22683.39,2253.52
221.03,-3.34,7.92,6.36,-5.82,-750.87,74.52,Rest,8,2624.61,-303.72,6,-1866.56,-17.98,High,31998.63,2408.7
1.84,1.58,1.24,2.1,-20.02,-636.93,173.44,USA,3,1446.57,-398.52,6,-2572.64,-25.38,High,27282.54,235.33
13.61,-1.11,1.74,2.28,-17.42,-1004.49,148.98,Europe,3,-560.16,-260.22,6,-2812.3,-10.51,Very high,30655.11,336.31
0.31,-0.63,2.96,1.39,0.8,-947.91,93.26,Europe,4,931.92,-255.33,14,-1454.8,-18.01,Very high,29657.01,75.34
0.68,-4.2,23.9,10.55,-18.82,-788.73,207.74,Europe,5,1639.5,-313.8,10,-1207.64,-13.88,Very high,28290.78,3178.14
0.01,1.67,13.74,4.39,0.98,-828.42,85.08,Europe,5,641.97,-249.54,6,-3549.16,-21.97,Very low,-3123.96,85.31
87.17,2.12,6.54,1.89,2.82,-811.62,72.56,Rest,4,1601.31,-405.36,6,-1912.74,5.65,Medium,28195.95,28.72
0.24,4.52,6.84,2.69,4.34,-887.82,38.94,Europe,5,878.28,-424.14,8,-1686.86,-18.05,Low,15391.8,57.04
0.2,2.95,9.1,2.72,-8.12,-1067.04,101.28,USA,7,758.73,-467.91,16,-1267.48,-24.16,Low,29540.88,751.89
0.3,-2.52,2.26,5.31,-5.8,-915.69,239.68,UK,3,389.22,-458.52,8,-1765.58,-21.47,Very low,14505.48,2163.1
0.03,-5.48,10.04,5.69,-9.44,-827.91,216.86,Europe,3,2494.17,-355.98,6,-2664.98,-19.88,Very low,37444.41,383.64
0,-0.55,19.88,0.28,-6.02,-838.23,219.32,USA,3,760.92,-327.21,4,-2373.7,-25.63,High,20815.08,2300.05
5.26,-0.87,13.02,6.46,-15.66,-795.72,73.02,Europe,4,2224.5,-479.25,10,-2882,-21.06,Very low,25723.38,0
1.19,-4.88,2.56,1.6,-14.18,-881.04,199.8,UK,4,1540.74,-221.94,8,-2862.28,-10.77,Very low,29665.89,0
0.07,-3.76,8.82,0.27,-3.14,-815.52,30.68,Europe,3,1938.3,-223.86,4,-3187.94,-27.63,Very low,24836.91,0
3.22,-9.78,6.86,3.26,-15.92,-884.34,161.3,USA,4,1252.74,-409.83,12,-2823.52,-23.13,High,29007,293.55
28.14,0.05,5.98,2.1,-6.2,-803.01,209.54,USA,1,2106.48,-420.54,8,-2729.66,-25.33,Very low,21058.38,0
2.37,4.58,7.34,2.92,-21.54,-493.68,264.58,UK,7,1407.66,-173.7,4,-2215.26,-17.34,Low,33233.37,2773.9
0.07,-2.45,9.1,2.34,-3.48,-688.62,73.08,Europe,3,2156.97,-302.58,6,-1719.54,-18.57,Low,21994.29,11.09
100.07,2.45,13.66,0.92,-6.6,-569.16,79.48,UK,4,2690.97,-307.5,8,-1691.28,-19.98,Very low,13303.98,0
40.44,-6.68,5.44,1.41,3.56,-905.88,133.5,UK,5,1477.98,-367.8,8,-2339.32,-21.3,Medium,30877.77,0
0.19,-1.03,8.38,6.51,-2.78,-820.02,129.74,Rest,1,993.33,-353.04,8,-2303.92,-20.4,Low,9574.26,549.25
1.4,3.46,18.68,2.51,-7.32,-1120.11,123.4,UK,4,2506.44,-370.89,14,-2383.74,-20.87,Very low,20913.99,0
0.02,2.02,13.8,3.46,-6.58,-779.91,118.34,UK,2,-374.88,-307.71,10,-1967.28,-12.33,Very high,21732.9,2369.37
0.29,0.34,7.54,6.17,5.52,-690.3,156.74,Rest,2,-696.81,-304.14,6,-2143.68,-21.18,Medium,16246.95,3378.5
14.61,1.78,23.5,7.79,-3.86,-895.44,134.42,UK,7,925.62,-412.59,12,-1672.72,-13.55,Medium,22891.95,2950.19
0.19,-0.2,2.16,5.26,-14.06,-316.41,59.06,Rest,3,2047.68,-228.84,10,-2231.44,-20.53,Medium,24153.03,0
71.24,-1.46,6.88,3.4,-2.62,-850.98,282.46,UK,1,1864.29,-281.7,6,-2773.52,-15.3,High,17652.57,1791.65
0.05,-3.56,2.84,1.89,-22.32,-823.35,75.2,UK,5,731.55,-436.05,8,-1676.3,-17.64,Very low,35466.33,0
8.82,-4.99,9.66,2.53,-15.32,-795.36,80.18,Rest,2,2840.31,-352.5,10,-2067.88,-20.39,Medium,14006.34,0
28.33,1.1,22.26,4.56,-9.76,-797.94,82.82,UK,4,1241.85,-351.81,4,-2159.64,-21.63,Very low,26964.99,2175.35
0.13,1.92,2.14,12.72,-4.34,-795.66,97.36,UK,2,956.4,-344.73,6,-2044.76,-21.23,Low,-2569.14,1517.22
0.81,-1.46,10.58,4.35,-10.08,-718.11,140.52,USA,3,651.99,-252.63,6,-2512.34,-30.89,Low,24234.93,875.97
0.02,5.24,8.74,5.14,-13.2,-958.26,290.84,Rest,1,1145.13,-386.19,12,-2235.26,-24.07,Low,27115.98,2870.07
26.31,6.87,6.32,0.88,-10.4,-968.91,165.9,USA,4,2323.92,-338.7,10,-809.26,-20.53,Very low,32070.48,452.91
0.36,-4.76,6.66,3.62,-2.96,-761.58,133.28,Europe,3,2026.77,-503.37,6,-3135.58,-20.38,Low,31693.05,0
5.1,-3.44,7.86,2.03,-3.06,-764.04,107.64,Rest,5,-1054.8,-293.85,10,-2646.66,-21.89,High,18497.55,1473.57
0,-1.59,6.98,1.57,-14.46,-742.02,49.2,USA,4,3180.87,-255.12,6,-2871.42,-19.62,Very high,85263.24,0
2.35,-0.71,8.42,8.62,-13.44,-749.85,95.44,UK,2,1649.76,-346.62,12,-2572.5,-19.12,Medium,28253.94,0
0.01,-3.14,18.22,3.03,-22.08,-835.26,98.04,USA,0,2183.52,-413.04,4,-534.2,-22.77,Very low,35888.43,1204.66
0.25,0.21,3.78,2.51,0.4,-921.51,59.28,Europe,4,393.18,-355.5,10,-1940.28,-13.47,Very high,17421.6,117.98
0.1,5.06,8.24,0.67,-5.1,-739.98,80,UK,2,-47.49,-465.66,10,-2177.26,-22.03,Very high,25216.14,0
1.26,3.32,3.02,3.75,-14.46,-759.75,53.74,USA,4,1228.5,-334.17,2,-3093.2,-26.68,Very low,32506.44,0
0.01,4.17,15.32,1.52,-3.48,-880.83,147.22,Rest,6,2135.88,-382.65,12,-2573.68,-19.44,Very low,18975.45,196.6
14.41,-1.06,7.16,7.34,-5.78,-815.25,40.38,UK,4,1333.02,-425.58,12,-1386.5,-20.04,Very high,31156.5,1122.22
0.26,-4.38,9.84,0.69,-13.96,-950.73,159.88,USA,2,2245.71,-395.58,6,-2577.6,-18.32,Very low,18399.81,0
2.32,-6.7,2.9,2.6,-14.8,-848.07,128.8,Europe,6,1082.79,-251.91,18,-1629.82,-28.45,Medium,23705.01,40.59
1.4,-1.04,16.32,4.97,-4.94,-860.16,273.38,UK,7,1170.81,-259.92,6,-3173.24,-16.94,Medium,25861.44,2920.2
0.7,2.84,3.72,1.04,-12.22,-810.06,85.74,USA,6,2407.32,-365.1,14,-1249.74,-19.59,Low,31127.37,0
1.87,-1.43,5.28,6.26,-6.64,-756.45,117.14,Rest,4,631.65,-280.65,6,-2269.32,-18.55,Low,23353.05,1321.36
0.17,1.84,4.04,2.06,-10.78,-893.01,53.22,UK,7,593.19,-362.43,16,-1611.58,-16.21,Very low,31462.68,0
0.12,-2.65,26.68,15.26,-5.16,-701.28,187.54,Rest,4,1449.09,-276.6,12,-2439.96,-20.24,High,23378.7,3798.89
0,-0.66,1.72,3.36,-14.4,-685.2,19.72,USA,4,2049.03,-363.09,6,-1856.72,-16.12,Very low,13396.56,0
0.26,0.25,7.42,0.58,-7.92,-800.73,69.18,USA,3,957.09,-240.63,6,-2691.68,-26.15,Medium,24951.51,0
778.53,0.68,4.92,3.65,-17.48,-837.99,119.36,Rest,9,848.58,-169.08,2,-1534.3,-18.09,Medium,17043.75,3616.65
0.08,2.32,12.04,8.63,-9.44,-764.82,73.6,Europe,4,1617.06,-248.61,12,-2844.16,-25.42,Very high,21868.83,330.18
4.04,-1.45,4.88,0.31,-14,-884.28,126.28,Rest,4,2101.59,-477.33,4,-1195.2,-17.92,Very low,25778.97,204.7
302.87,-3.78,11.98,2.79,-13.02,-787.32,173.5,USA,4,917.01,-310.38,8,-3105.4,-24.84,Very high,-7283.82,1101.89
0.08,1.43,9.84,1.21,-7.88,-975.39,67.28,Rest,5,2456.67,-391.77,8,-1613.28,-20.5,Low,31156.05,0
0,0.02,5,3.17,-11.82,-897.78,96.02,USA,7,1458.36,-405.75,20,-2016.06,-16.53,Low,32331.93,0
33.93,-0.77,3.96,5.1,-4.02,-815.07,168.32,Europe,3,2166.39,-466.74,4,-1950,-20.55,Very low,-6364.17,233.1
4.05,-6.57,3.52,3.09,-2.38,-852.42,115.2,Rest,4,3703.71,-192.93,8,-2381.72,-21.13,High,29950.68,0
1.4,0.44,0.8,1.45,7.42,-953.1,218.18,UK,7,767.31,-499.83,4,-2649.58,-17.83,Low,21976.23,1506.61
66.54,8.33,17.44,1.6,-10.38,-804.42,166.34,Europe,4,256.59,-202.32,8,-2568.36,-20.49,Very low,27578.55,552.63
0.06,-0.32,3.04,2.25,-10.18,-773.46,163.14,USA,5,1214.01,-442.23,6,-2401.72,-20.07,Medium,18195.21,604.38
2.21,-5.26,10.26,3.66,-9.56,-672.27,114.54,UK,5,1944.45,-336.66,10,-1324.26,-16.53,High,22492.11,1821.69
4.39,-2.68,8.34,5.69,-13.32,-693.48,91.24,Rest,6,1255.41,-154.65,10,-1739.88,-26.55,High,23544.6,2459.82
0.01,0.98,23.92,3.34,-3.24,-751.29,73.18,Europe,4,1273.68,-262.89,8,-2088.8,-17.43,Medium,23510.13,763.44
0.85,-1.42,5.16,14.09,7,-770.07,81.94,Europe,1,981.36,-246.66,0,-1898.06,-14.42,Very high,17218.56,1351.77
2891.92,2.55,9.92,2.71,-0.36,-823.2,101.16,UK,5,1649.01,-478.83,12,-1651.64,-15.75,Very high,30500.19,1042.25
1.61,2.25,12,3.51,-11.4,-647.73,131.62,Rest,3,421.68,-286.68,6,-1983.76,-19.91,Low,30653.34,2369.53
0.08,-1.24,5.82,2.55,-11,-697.95,116.44,UK,2,-1.59,-324.93,4,-3160.92,-23.25,Medium,23339.43,0
0.95,-2.64,6.9,5.88,-6.28,-766.65,138.48,Europe,7,337.17,-385.56,8,-2116.66,-19.76,High,68695.38,1088.68
6.43,-0.84,9.14,3.83,-4.3,-816.54,103.02,UK,2,672.15,-277.59,6,-2829.18,-20.14,Very low,339.84,0
0.62,1.19,9.06,4.53,-11.62,-1121.85,85.56,USA,6,1183.62,-319.05,8,-2312.4,-23.77,Low,-7448.25,560.18
0.14,0.66,5.14,6.85,-10.48,-1024.68,34.7,UK,2,1092.99,-220.56,14,-2215.4,-15.07,High,24695.82,0
0.01,-2.51,18.04,4.85,-4.64,-857.97,67.16,Europe,8,-314.7,-268.62,6,-2346.7,-16.3,Medium,5127.54,1341.95
0.68,1.3,2.18,2.49,2.46,-791.91,213.9,Europe,3,1435.56,-218.22,10,-2288.9,-27.51,Medium,16620.54,170.14
28.06,-4.71,13.4,7.97,-11.34,-827.55,121.66,Rest,7,2252.22,-383.88,4,-2750.78,-22.12,Very high,36857.67,3613.01
24.35,-5.94,12.32,3.66,-14.46,-382.5,29.26,USA,5,789.06,-232.5,10,-2201.1,-12.77,Low,-385.89,94.92
0.8,0.33,23.04,3.09,-17.78,-883.5,31.9,UK,3,1395.18,-388.98,6,-1839.68,7.55,Medium,26280.66,1650.33
4.78,0.74,18.76,1.59,-3.7,-828.48,53.66,UK,2,576.21,-530.07,14,-2115.9,-20.04,Very low,19952.16,0
1.04,0.64,3.06,3.97,-7.32,-823.02,96.66,UK,3,1880.46,-226.98,2,-2996.3,-17.16,High,25261.35,0
3.44,4.19,6.72,1.93,-12.62,-1024.11,173.78,Europe,6,24.57,-414.45,12,-2725.72,-21.96,Low,45176.64,258.27
0.07,-0.44,5.48,1.55,-11.84,-824.46,218.58,Europe,4,1907.19,-490.38,10,-2524.18,-23.05,Low,-7201.92,109.65
0.2,2.12,13.18,0.18,-3.08,-884.88,152.6,USA,6,593.58,-441.51,8,-2164.48,-19.41,High,29530.44,1495.24
0.26,-3,11.08,4.41,-3.1,-1186.32,88.86,Europe,2,2216.28,-319.2,6,-2927.6,-14.03,Very high,20123.58,79.88
4.09,-1.35,5.78,4.3,-12.58,-706.29,258.48,Rest,5,2093.01,-443.67,10,-2647.48,-19.03,Very low,21796.89,1135.27
12.6,-1.47,17.1,6.93,-14.02,-856.62,39,Rest,5,2122.35,-276.69,16,-1958.4,-21.03,Very low,16220.19,31.81
1.14,-0.21,14.64,2.65,-10.18,-763.08,63.46,Europe,5,3390.84,-175.8,4,-1834.82,-31.14,Medium,18792.24,216.64
0.22,1.72,1.76,2.84,-15.04,-872.64,176.42,UK,2,480.9,-458.49,10,-1822.48,-20.62,Medium,27182.43,417.16
42.85,1.07,3.38,3.2,-10.82,-720.42,141.84,Rest,4,3252.3,-384.99,12,-2372.78,-23.29,High,25100.79,0
1.34,-3.4,1.22,1.79,-6.86,-813.84,115.44,Rest,5,1820.04,-456.99,8,-1151.56,-19.94,Medium,14682.39,386.66
9.37,-4.42,13.12,3.11,-20.76,-699.36,196.06,UK,1,666.39,-473.55,6,-1636.32,-19.13,Low,40111.95,2379.75
24.63,-1.21,12.22,4.6,-7.02,-759.63,161.34,UK,7,-312.63,-344.43,6,-2150.88,-21.61,High,28154.04,2910.86
