F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Class
12.9,0.44,33,-7.24,2,21.68,-1.42,116.86,1.65,10.93,-23.74,-25.32,2.67,-184.14,-7.48,True
16.5,1.04,180,-3.56,2,21.64,-0.42,101.86,1.88,10.79,-26.58,-25.32,1.17,-211.14,,True
14.31,0.65,39,-4.6,2,20.2,-0.46,88.86,1.14,12.47,-24.8,-25.32,0.24,-175.14,,False
5.73,1.44,645,4.18,20,32.86,-5.16,187.86,12.4,6.29,-18.48,-36.32,15.15,-439.14,,False
25.56,2.15,69,-9.26,2,21.02,4.74,124.86,1.34,10.57,-29.58,-23.32,0.03,-247.14,,False
12.51,1.36,15,-5.48,2,21,-0.06,92.86,1.41,10.33,-25.36,-25.32,2.58,-169.14,-8.32,True
13.53,1.24,126,-4.18,2,20.68,0.38,100.86,1.5,10.47,-25.18,-23.32,1.92,-277.14,-8.55,True
1.53,0.66,1050,3.52,20,32.76,-8.58,217.86,11.85,6.84,-19.08,-36.32,17.25,-259.14,-6.98,False
15.48,1.12,9,-4.14,2,21.3,-0.94,99.86,0.79,13.67,-24.54,-25.32,0.51,-178.14,,True
5.79,0.09,945,2.16,20,29.76,-3.74,242.86,14.95,6.9,-17.38,-46.32,21.15,-19.14,-6.27,False
13.05,1.84,18,-4.28,2,21,-0.6,96.86,1.83,10.56,-26.68,-25.32,1.98,-160.14,,True
14.07,0.24,21,-10.88,2,20.84,0.6,86.86,1.77,10.74,-26.78,-25.32,0.66,-157.14,-8.41,True
2.1,0.54,825,3.24,20,33.26,-8.82,212.86,6.5,6.65,-20.16,-36.32,15.9,-139.14,,False
-3,0.75,300,3.46,20,35.56,-9.12,247.86,6.45,4.66,-14.7,-26.32,29.55,-364.14,-9.73,True
12.96,1.17,21,-11.1,2,20.82,3.76,118.86,1.55,11.12,-23.96,-23.32,0.96,-220.14,-7.36,False
20.22,1.58,129,-4.24,2,20.66,3.44,120.86,0.35,10.51,-26.18,-25.32,2.82,-163.14,,False
13.68,0.97,66,-14.86,2,19.82,0.42,115.86,1.53,10.75,-27.04,-23.32,1.62,-160.14,,False
15.84,3.47,12,-10.6,2,21.3,0.18,91.86,1.29,10.73,-30.38,-21.32,0,-253.14,-7.08,False
6.81,0.49,1140,0.58,20,35.46,-9.98,292.86,9.55,5.42,-19.06,-36.32,23.1,-19.14,-8.34,True
25.47,2,30,-4.58,2,21.12,-0.28,96.86,1.17,10.2,-25.92,-21.32,1.11,-229.14,,False
16.14,1.27,21,-7.62,2,19.9,0.78,94.86,1.49,12.1,-30.8,-25.32,1.38,-205.14,,False
15.06,3.1,108,-6.24,2,21.02,-0.5,118.86,1.48,10.19,-24.94,-25.32,1.38,-196.14,,False
13.11,1.41,75,-8.46,2,20.8,7.8,97.86,0.85,10.75,-24.62,-23.32,1.5,-205.14,,False
16.83,2.43,81,-3.64,2,20.78,2.06,83.86,0.81,10.3,-24.26,-25.32,0.12,-166.14,-7.53,False
13.14,1.5,186,-2.9,2,21.62,0.12,85.86,0.99,9.6,-24.38,-21.32,2.85,-217.14,,True
5.28,0.11,855,5.52,20,35.66,-7.88,272.86,6,8.98,-14.02,-36.32,22.35,25.86,,True
13.44,3.72,33,-8.5,2,20,1.04,94.86,1.09,11.29,-28.02,-24.32,2.7,-214.14,-7.26,False
16.8,4.55,120,-11.24,2,21.3,2.8,86.86,0.76,11.39,-23.8,-25.32,0.81,-196.14,,False
11.97,0.45,72,-10.46,2,21.28,1.26,83.86,1.48,9.79,-30.76,-25.32,2.4,-181.14,,True
19.5,3.41,27,-9.2,2,20.8,-0.98,112.86,1.38,12.75,-25.08,-23.32,2.76,-265.14,,False
18,2.25,36,-6.38,2,19.88,4.12,122.86,1.44,15.92,-26.08,-23.32,1.41,-193.14,,False
1.77,0.68,165,2.82,20,31.66,-7.96,142.86,11.5,7.82,-16.06,-26.32,16.2,-424.14,-6.42,False
9.51,1.45,390,-2.96,20,31.16,-6.62,312.86,6.55,6.97,-22.62,-36.32,20.25,-394.14,-6.28,False
2.55,1.89,1035,5.28,20,31.66,-10.7,177.86,6.85,5.79,-14.42,-26.32,28.35,-454.14,,False
5.13,0.05,615,-2.64,20,29.26,-6.48,187.86,14.85,9.94,-21.66,-46.32,17.7,40.86,,False
13.65,1.38,6,-6.16,2,21.5,8.28,94.86,0.19,10.09,-23.86,-23.32,1.29,-220.14,,True
23.52,1.25,27,-3.92,2,21.3,-0.8,102.86,1.23,11.23,-26.66,-21.32,0.21,-241.14,-7.23,False
2.43,0.97,1170,4.02,20,36.66,-9.34,272.86,12.95,8.64,-14.46,-31.32,16.95,-199.14,,False
1.05,-0.56,660,2.78,20,30.36,-9.58,167.86,14.15,7.05,-15.1,-36.32,28.05,-244.14,,True
1.74,-0.3,60,2.62,20,33.96,-6.74,232.86,10.1,6.24,-17.22,-36.32,16.8,-499.14,,False
15.39,0.88,87,-5.6,2,20.36,-0.72,107.86,0.71,10.73,-25.12,-23.32,2.85,-169.14,,False
7.53,0.82,675,5.46,20,35.06,-5.78,92.86,6.4,5.59,-13.14,-36.32,22.35,-229.14,,True
1.38,1.44,840,6.94,20,32.06,-6.52,122.86,14.05,5.01,-14.42,-26.32,29.85,-424.14,-7.93,True
13.41,1.92,18,-5.42,2,21.44,1.7,116.86,0.79,12.18,-26.64,-23.32,1.38,-253.14,-8.26,False
17.43,2.75,168,-5.94,2,21.26,2.08,101.86,0.9,10.1,-24.16,-23.32,1.5,-181.14,,True
0.51,2.73,195,-1.32,20,32.76,-8.74,227.86,8.15,6.11,-25.5,-46.32,18.75,-139.14,-6.06,False
2.97,0.65,705,5.64,20,31.96,-6.42,237.86,5.95,6.13,-15.54,-36.32,29.7,-19.14,-8.4,True
0.15,1.3,195,3.4,20,33.96,-8.38,272.86,6.55,5.24,-15.12,-26.32,25.05,-304.14,,True
18.84,2.54,33,-18.12,2,20.88,-0.32,93.86,0.03,10.08,-25.3,-25.32,0.6,-211.14,,False
5.94,1.16,75,1.38,20,30.56,-8.2,127.86,7.05,7.31,-21.02,-36.32,16.95,-454.14,-7.57,False
2.19,-0.17,435,4.68,20,31.66,-6.66,317.86,5.5,10.13,-16.86,-36.32,27.15,-79.14,,False
4.59,3.48,1005,1.68,20,30.36,-4.74,257.86,5.65,8.1,-17.3,-26.32,22.8,-274.14,,False
2.16,0.74,990,2.8,20,32.46,-9.04,292.86,11.6,6.24,-15.38,-36.32,26.25,-304.14,,False
1.32,1.52,825,4.24,20,34.06,-10.22,242.86,7.5,6.84,-16.82,-26.32,24.3,-454.14,-6.6,False
23.01,2.18,69,-5.16,2,20.7,4.08,97.86,2.03,12.61,-26.34,-21.32,0.06,-223.14,-7.55,False
2.1,-0.33,255,3.92,20,30.86,-1.54,112.86,9.2,6.98,-19.04,-36.32,17.4,-379.14,-7.36,False
15.09,2.11,24,-3.48,2,21.26,-0.22,102.86,1.71,10.05,-25.98,-23.32,1.62,-247.14,-8.71,True
18.87,2.39,45,-7.22,2,20.9,3.9,83.86,0.36,9.97,-27.66,-25.32,1.77,-169.14,,True
-1.5,0.77,735,3.94,20,36.26,-11.06,132.86,7.4,6.98,-15.28,-36.32,25.05,-259.14,,True
15.9,2.05,39,-6.66,2,20.26,-0.9,84.86,1.24,11.14,-29.36,-21.32,2.13,-241.14,,False
-0.69,1.45,915,4.72,20,31.56,-9.2,132.86,7.1,5.48,-14.92,-36.32,25.95,-349.14,-7.53,False
5.34,-0.34,510,3.44,20,31.96,-7.48,317.86,5.25,6.15,-18.32,-36.32,25.65,-4.14,,False
15.36,0.5,30,-6.62,2,20.12,1.22,78.86,0.82,10.18,-30.04,-25.32,1.41,-148.14,,True
-2.19,0.94,450,5.68,20,37.26,-10.7,222.86,11.1,5.76,-14.16,-26.32,20.4,-439.14,-8.74,True
3.99,-0.29,75,2.56,20,30.26,-6.58,192.86,9.3,7.09,-19.26,-46.32,16.5,-169.14,,False
13.29,0.74,144,-6.16,2,20.74,1.76,109.86,1.36,10.98,-24.62,-25.32,0.27,-169.14,-7.28,False
-2.7,1.26,600,6.82,20,38.06,-11.04,202.86,6.6,5.43,-13.46,-26.32,21.45,-289.14,,True
12.24,0.93,6,-10.24,2,21.54,-1.02,84.86,1.47,10.41,-24.74,-23.32,0.72,-205.14,-8.95,True
10.14,1.6,165,2.2,20,32.16,-8.44,177.86,6.45,8.09,-20.7,-26.32,15.6,-319.14,,False
12.12,1.03,51,-3.9,2,21.32,0.4,87.86,1.53,10.26,-25.38,-23.32,2.73,-163.14,,True
8.97,2.38,780,4.34,10,30.76,-1.98,307.86,6.05,9.81,-16.22,-36.32,19.35,-244.14,,False
16.02,1.91,27,-7.38,2,20.8,-0.64,117.86,0.3,11.76,-30.58,-23.32,1.95,-190.14,-7.12,False
1.29,1.65,60,2.7,20,32.16,-9.4,282.86,5.05,6.16,-16.84,-36.32,25.8,-184.14,,True
14.91,3.35,57,-10.46,2,19.76,1.82,95.86,0.61,10.6,-24.88,-25.32,2.58,-175.14,-7.66,False
16.83,2.15,69,-7,2,20.78,0.64,83.86,1,10.77,-24.54,-25.32,1.29,-166.14,-7.76,True
-1.11,1.6,1035,6.56,20,36.46,-5.08,222.86,8.85,5.33,-14.38,-26.32,22.8,-439.14,-7.65,False
-3.66,2.19,525,5.16,20,37.36,-10.86,132.86,7.45,4.73,-13.94,-36.32,19.65,-424.14,-9.59,True
-0.45,1.62,855,4.58,20,34.76,-7.3,192.86,6.3,5.8,-15.74,-26.32,16.05,-289.14,,False
1.62,0.75,915,1.68,20,30.76,-7.86,207.86,12.55,7.69,-19.7,-26.32,22.2,-244.14,-6.91,False
-0.21,0.4,165,-1.64,20,31.86,-6.2,177.86,11.6,7.04,-15.56,-36.32,20.55,-274.14,,False
1.92,0.97,195,5.38,20,33.36,-9.68,167.86,10.8,5.56,-19.84,-26.32,18.6,-484.14,-8.7,False
4.65,-0.97,165,-1.78,20,29.36,-1.88,172.86,9.65,6.82,-17.68,-46.32,18.9,70.86,,False
12.72,1.77,99,-7,2,20.66,5.86,91.86,1.47,10.38,-25.72,-23.32,0.87,-178.14,,False
18.45,1.2,27,-4.8,2,21.08,-0.02,102.86,1.31,9.92,-24.54,-23.32,2.34,-268.14,,True
4.2,0.25,195,4.86,20,33.86,-7.9,162.86,8.5,5.71,-16.1,-26.32,20.25,-379.14,,True
14.55,0.75,3,-3.98,2,21.24,-0.38,110.86,0.03,10.79,-27,-24.32,0.9,-214.14,-6.91,False
-2.31,1.98,1155,5.58,20,32.96,-10.6,97.86,8.9,7.01,-17.74,-26.32,25.95,-439.14,,False
2.04,1.06,690,6.64,20,37.36,-11.28,197.86,9.15,6.09,-15.36,-26.32,23.25,-274.14,-8.67,True
16.14,1.37,45,-8.4,2,21,-0.8,95.86,1.33,10.8,-27.38,-23.32,2.16,-196.14,,True
13.29,-0.53,495,0.96,20,29.36,-4.48,267.86,7.45,7.19,-22.06,-36.32,21.3,-4.14,-6.15,False
14.76,0.69,33,-3.84,2,19.8,-0.52,101.86,1.93,11.85,-25.6,-23.32,2.64,-157.14,-7.86,True
12.21,1.66,42,-9.84,2,21.28,0.7,102.86,1.96,11.79,-29.28,-23.32,2.4,-235.14,-8.15,True
12.6,1.28,21,-4.86,0,20.18,3.7,87.86,0.96,10.93,-27.56,-25.32,2.34,-157.14,-8.73,True
4.56,1.58,180,2.02,20,31.16,-9.7,142.86,6.1,9.25,-18.84,-26.32,25.05,-454.14,-7.72,False
2.97,0.58,405,3.9,20,32.86,-8.48,202.86,9.2,7.31,-25.88,-36.32,16.05,-94.14,,False
5.04,1.2,150,6.64,20,34.46,-8.54,172.86,6.85,5.24,-13.98,-36.32,24.6,-454.14,,True
14.97,2.12,27,-5.54,2,21.42,3.6,99.86,1.48,12.12,-23.98,-23.32,2.76,-280.14,,True
14.67,1.11,204,-10.3,2,20.58,-0.84,94.86,1.74,10.21,-24.54,-25.32,1.17,-187.14,-7.56,False
12.3,1.75,15,-3.5,2,21.34,-0.64,108.86,1.75,10.19,-25.08,-23.32,1.23,-211.14,-8.08,True
13.8,0.76,57,-3.64,2,20.98,-0.78,117.86,0.63,10.19,-28.96,-23.32,2.88,-181.14,-8.36,False
2.79,2.07,1155,3.52,20,30.56,-9.24,272.86,7.5,8.15,-15.36,-36.32,28.65,-304.14,,False
14.16,1.96,123,-7.02,2,21.14,6.2,109.86,1.62,10.26,-24.12,-23.32,2.01,-271.14,,True
18.57,0.89,15,-12.24,2,20.1,-0.46,77.86,0.59,10.53,-25.6,-23.32,2.07,-157.14,-7.63,False
18.21,1.78,375,-0.5,20,31.26,-5.72,217.86,8.25,6.8,-18.02,-26.32,16.35,-409.14,,False
1.14,2.27,495,5.46,20,34.86,-9.98,217.86,8.85,5.65,-15.04,-26.32,18.75,-379.14,,False
17.46,0.88,93,-5.1,2,19.92,2.26,81.86,1.57,11.12,-24.06,-23.32,1.29,-172.14,-6.72,False
13.17,1.97,51,-4.7,2,21.06,1.34,110.86,0.21,11.32,-29.2,-25.32,0.81,-199.14,-7.36,False
0.06,1.7,405,3.78,20,34.66,-7.24,297.86,9.3,6.74,-15.96,-26.32,19.35,-469.14,,False
-0.78,1.07,1080,6.18,20,34.66,-10.42,107.86,9.75,6,-15.98,-36.32,17.55,-4.14,,True
17.76,1.11,75,-3.92,2,20.7,0.62,96.86,0.27,10.52,-27.16,-25.32,1.89,-166.14,-6.91,False
14.94,2.36,18,-8.16,2,21.7,-1.22,97.86,2.01,10.27,-25.18,-23.32,1.08,-196.14,,True
6.09,2.18,165,0.9,20,30.76,-7.04,267.86,10.75,6.75,-16.68,-26.32,22.8,-379.14,,False
12.84,1.18,198,-4.38,2,21.46,-0.72,88.86,1.34,11.47,-23.42,-21.32,2.52,-256.14,,True
-1.14,2.59,750,5.68,20,32.96,-10.28,202.86,7.55,6.12,-17.08,-36.32,28.8,-319.14,,True
15.12,1.11,54,-3.86,2,20.48,5.56,92.86,1.91,11.25,-24.72,-23.32,2.28,-196.14,,True
19.86,1.48,60,-4.04,2,21.34,0.94,104.86,1.54,12.43,-24.76,-23.32,0.6,-226.14,,False
13.56,0.4,66,-3.64,2,20.62,0.74,93.86,1.61,10.23,-25.2,-25.32,1.29,-172.14,,True
2.88,-0.05,420,4.14,20,37.66,-5.28,292.86,8,5.54,-14.5,-36.32,15.45,-259.14,-7.43,True
8.07,0.17,285,4.52,20,31.06,-9.28,167.86,7.6,5.88,-16.52,-36.32,24.15,10.86,-7.32,False
13.32,3.41,36,-3.6,2,20.72,-0.34,122.86,0.76,12.09,-25.28,-23.32,2.64,-172.14,,False
-3.57,0.3,750,6.5,20,37.76,-5.12,127.86,7.6,5.71,-13.68,-46.32,17.85,-124.14,,True
8.94,0.2,180,3.14,20,29.96,-4.98,222.86,9.65,6.94,-19.24,-46.32,20.7,-19.14,-6.23,False
21.3,2.41,105,-4.48,2,21.08,-0.48,100.86,0.71,12.76,-24.24,-23.32,1.47,-211.14,,False
1.26,1.72,810,-1.8,20,31.46,-8.3,137.86,6.7,7.3,-16.1,-36.32,20.55,-409.14,-7.85,False
17.43,1.62,15,-7.84,2,20.96,-0.08,117.86,1.64,12.81,-24.26,-23.32,1.59,-253.14,-7.82,False
14.01,3.28,9,-6.78,2,20.44,2.34,81.86,2.05,12.91,-24.66,-25.32,0.24,-205.14,,True
2.61,0.73,795,-0.06,20,32.16,-6.44,222.86,13.35,7.99,-16.74,-46.32,17.4,-169.14,,False
8.43,-0.43,585,0.7,20,30.26,-6.9,282.86,6,6.85,-17.1,-36.32,23.7,40.86,,False
3.12,1.9,825,3.74,20,33.86,-9.9,222.86,5,7.51,-15.56,-36.32,21.45,-439.14,-6.41,False
3.72,0.62,105,2.24,20,33.96,-5.16,297.86,6.55,6.49,-22.64,-36.32,16.95,-409.14,-6.87,False
8.01,1.23,690,5.3,20,32.36,-3.2,172.86,8.6,5.86,-17,-36.32,21.6,70.86,,True
-0.45,1.36,300,6.22,20,36.36,-2.22,82.86,9.65,5.31,-15.34,-26.32,18,-439.14,-7.74,True
15.81,2.32,138,-4.34,2,21.26,0.48,106.86,1.64,11.51,-25.24,-25.32,1.29,-211.14,,False
20.46,0.33,3,-4.34,2,20.12,0.58,118.86,1.89,10.53,-25.72,-25.32,1.29,-202.14,,True
13.32,1.94,15,-4.02,2,20.34,2.56,77.86,0.63,10.02,-26.72,-23.32,2.28,-247.14,,False
12.66,1.96,12,-5.68,2,20.18,2.92,80.86,2.04,10.12,-27.38,-23.32,2.67,-217.14,,True
-1.65,-0.05,1140,5.18,20,33.76,-9.76,97.86,14.95,6.52,-16.6,-36.32,17.1,-169.14,-9.88,True
13.23,1.66,84,-4.32,2,21.64,-1.46,85.86,0.73,11.52,-23.22,-23.32,1.32,-232.14,,True
15.57,1.79,18,-5.26,2,20.58,3.84,114.86,1.89,10.85,-24.64,-25.32,1.92,-160.14,,True
12.81,1.64,21,-6.2,2,21.02,-0.3,114.86,1.46,11.87,-30.72,-25.32,0.6,-181.14,-8.34,True
14.22,1.86,75,-7.14,2,20.46,0.02,89.86,1.99,10.39,-24.12,-21.32,1.77,-265.14,-8.18,False
6.9,1.01,240,2.68,20,31.16,-7.46,302.86,5.55,7.61,-16.96,-36.32,23.85,-289.14,,False
15.3,2.21,87,-4.22,2,21.4,-1.02,101.86,0.55,12.96,-24.12,-23.32,0.57,-202.14,-7.43,False
19.89,1.49,30,-3.72,2,20.64,1.26,107.86,1.14,12.17,-24.6,-22.32,2.49,-214.14,,False
-1.95,0.58,1140,1.04,20,34.66,-8.38,267.86,6.5,5.47,-16.62,-46.32,29.55,10.86,-8.87,True
15.48,1.21,159,-4.36,2,20.88,0.74,127.86,1.92,10.11,-23.98,-25.32,1.5,-205.14,,False
6.66,-0.53,270,3.82,20,34.16,-4.34,292.86,5.25,6.73,-16.12,-36.32,17.7,10.86,-6.65,False
15.51,3.21,135,-8.28,2,21.62,0.14,115.86,1.4,12.06,-25.24,-25.32,0.99,-202.14,,False
10.11,0.25,750,3.4,20,31.16,-7.02,162.86,13.75,6.6,-17.24,-36.32,16.65,-79.14,-7.86,False
-0.21,1.04,435,6.52,20,33.06,-9.14,177.86,10.3,6.41,-13.96,-36.32,28.65,-454.14,-8.37,True
14.07,0.96,9,-4.8,2,20.48,-0.3,118.86,0.47,11.48,-25.74,-25.32,1.8,-166.14,,False
17.58,1.32,126,-7.72,2,21,7.96,86.86,2,10.72,-27.76,-25.32,2.31,-202.14,-7.48,True
20.34,2.1,27,-3.9,2,21.08,-0.8,78.86,1,12.31,-27.78,-23.32,0.54,-205.14,,False
18.96,1.2,0,-3.88,2,21.42,1.5,117.86,0.41,10.38,-27.6,-22.32,1.41,-217.14,,False
4.17,0.53,705,0.2,20,32.96,-9.08,257.86,14.9,7.25,-15.6,-26.32,21,-274.14,,False
18.36,1.04,36,-6.04,2,20.98,0.12,80.86,0.81,10.58,-23.94,-25.32,0.96,-160.14,-9.29,True
13.65,2.46,192,-5.88,2,21.14,-0.52,84.86,0.19,10.06,-27.42,-25.32,2.4,-199.14,,True
0.54,2.03,855,6.76,20,35.66,-8.52,257.86,10.1,5.32,-14.22,-26.32,25.95,-349.14,,False
12.84,0.35,9,-8.06,2,21,0.54,88.86,1.88,10.01,-23.78,-23.32,1.53,-178.14,-8.08,True
7.98,-0.44,405,3.4,20,31.06,-8.94,197.86,12.1,7.15,-15.9,-26.32,22.35,-259.14,-7.04,False
1.71,0.96,645,2.48,20,33.76,-8.38,107.86,8.3,5.61,-15.4,-26.32,15.45,-244.14,,False
-0.48,-0.08,255,4.38,20,30.46,-9.46,142.86,5.85,7.6,-15.32,-36.32,23.85,-244.14,-7.12,False
2.01,0.85,570,6.04,20,36.06,-8.74,207.86,11.2,6.08,-14.82,-36.32,17.1,-424.14,,True
2.76,0.1,840,4.36,20,33.26,-6.08,142.86,10.45,5.7,-16.54,-46.32,23.85,-169.14,-8.99,True
3.66,0.45,1035,1.76,20,31.16,-3.12,142.86,6.45,6.37,-16.5,-46.32,24.3,70.86,,True
13.35,0.85,21,-5.8,2,20.78,4.8,80.86,0.33,12.98,-24.24,-23.32,2.49,-160.14,-8.53,True
-1.11,3.09,990,7.02,20,38.96,-11.66,112.86,6,5.29,-15.5,-26.32,21,-394.14,,False
4.02,0.6,540,3.88,20,30.46,-8.78,77.86,7.05,7.12,-18.74,-31.32,17.7,-199.14,,False
3.18,0.43,480,2.64,20,32.46,-6,247.86,14.95,7.02,-17.06,-36.32,16.05,-109.14,-6.23,False
20.97,0.81,24,-3.7,2,21.5,0.12,110.86,1.63,11.66,-23.88,-23.32,0.93,-169.14,,True
-1.17,1.67,645,3.94,20,34.96,-9.68,117.86,6.9,6.91,-13.48,-26.32,24,-439.14,-7.78,False
4.02,-0.13,105,4.56,20,31.96,-9.32,237.86,8.7,6.98,-19.24,-36.32,23.25,-94.14,-6.57,False
12.27,2.34,177,-12.26,2,21.12,-1.22,81.86,1.54,12.16,-26.16,-21.32,1.59,-253.14,,True
23.61,4.24,42,-9.8,2,20.64,2.78,102.86,1.92,11.49,-26.04,-21.32,0.96,-244.14,,False
16.71,3.4,12,-4.24,2,19.92,-0.5,85.86,1.68,10.33,-25.64,-23.32,1.2,-244.14,,False
-2.67,0.89,240,2.44,20,38.86,-8.08,217.86,8.4,4.87,-13.74,-26.32,15.45,-469.14,-8.06,True
3.51,2.24,495,4.44,20,33.86,-9.42,282.86,13.05,6.73,-17.06,-26.32,22.2,-229.14,-6.53,True
24.42,1.44,3,-5.22,2,20.38,3.62,80.86,1.28,10.44,-25.78,-23.32,0.54,-238.14,-6.33,False
4.17,0.62,360,1.4,20,29.86,-7.72,177.86,6.6,7.06,-17.5,-26.32,23.4,-304.14,,False
-0.06,0.06,570,5.62,20,35.16,-11,122.86,8.35,5.02,-14.78,-46.32,19.95,-184.14,-9.08,True
17.25,1.14,207,-4.68,2,21.06,2.74,92.86,1.39,10.48,-26.1,-25.32,0.27,-196.14,,False
12.63,1.7,39,-6.7,2,21.34,0.12,110.86,1.32,12.25,-25.6,-23.32,2.37,-175.14,-9.14,True
0.72,-0.18,510,4.58,20,38.16,-10.4,92.86,6.8,4.56,-16.82,-36.32,18,-169.14,-9.18,True
18.36,1.06,51,-8.86,2,20.94,4.92,110.86,0.79,11.98,-38.9,-21.32,2.46,-241.14,,True
3.06,1.22,360,3.86,20,33.06,-6.14,272.86,10.8,6.81,-20.8,-36.32,18.3,-259.14,-7.45,False
7.53,2.78,1065,-0.78,20,29.76,-7.24,147.86,11.55,8.26,-21.1,-26.32,16.65,-379.14,-6.06,False
12.63,1.54,108,-6.58,2,21.42,3.36,118.86,1.56,10.34,-24.5,-23.32,1.29,-241.14,,False
5.94,-0.02,165,2.38,20,30.46,-3.38,92.86,13.15,7.74,-16.14,-26.32,20.55,-229.14,-6.49,False
-0.63,0.11,720,4.18,20,35.66,-9.68,137.86,7.1,6.67,-14.36,-36.32,17.4,-109.14,-9.5,True
13.38,0.89,120,-3.98,2,20.02,-0.64,113.86,1.89,10.76,-27.58,-25.32,2.76,-184.14,,False
15.72,2.2,117,-12.48,2,21.04,1.38,116.86,1.39,10.21,-26.74,-25.32,0.15,-202.14,,False
13.83,1.12,150,-4.98,2,21.4,0.22,84.86,0.44,10.75,-23.88,-25.32,1.2,-211.14,-8.66,True
2.37,-0.33,360,1.14,20,30.66,-5.06,257.86,14,7.86,-22.06,-36.32,21.45,-349.14,-5.8,False
12.81,1.8,117,-4.96,0,21.66,-1.02,104.86,0.69,9.95,-23.92,-23.32,0.87,-223.14,,True
12.72,3.53,6,-6.56,2,21.38,3.88,97.86,0.86,11.69,-31.64,-23.32,1.44,-229.14,-8.61,True
-2.04,2.53,735,7.74,20,37.56,-11.46,107.86,8.05,4.73,-14.98,-36.32,23.4,-409.14,,True
2.01,0.11,105,-1.38,20,32.36,-6.04,232.86,6.95,6.3,-16.56,-26.32,17.7,-349.14,-8.26,False
16.29,1.98,63,-3.74,2,21.06,1.18,86.86,0.89,10.18,-24.36,-25.32,2.28,-163.14,-9.32,True
20.34,2.36,114,-5.46,2,20.82,-0.94,110.86,0.22,10.01,-27.32,-25.32,2.49,-211.14,,False
13.5,1.07,144,-4.22,2,21.3,-1.34,82.86,1.72,10.46,-28.42,-23.32,2.67,-151.14,-9.78,True
17.7,1.29,66,-13.28,2,21.5,1.5,88.86,1.27,10.27,-26.26,-23.32,0.06,-250.14,,False
12.39,0.91,69,-4.26,2,21.58,2.66,82.86,2.05,9.99,-23.9,-21.32,3.24,-259.14,-7.93,True
13.86,1.22,192,-5.66,2,21.34,0.26,82.86,0.84,12.51,-23.38,-23.32,2.25,-202.14,,True
13.02,1.31,99,-8.68,2,21.46,-0.02,113.86,0.09,11.42,-24.74,-25.32,2.82,-181.14,,True
16.5,3.01,78,-3.9,2,21.16,-0.48,102.86,1.07,10.35,-27.82,-25.32,1.89,-208.14,,True
13.98,1.1,51,-4.5,2,20.3,3.48,106.86,1.55,11.06,-26.78,-23.32,2.22,-169.14,-8.39,False
12,1.75,165,-3.18,2,21.58,0.86,83.86,0.55,10.04,-24.94,-23.32,1.53,-205.14,,True
-3.24,3.76,750,1.02,20,34.96,-10.68,237.86,6,4.87,-18.94,-26.32,27.75,-454.14,-6.28,False
5.67,0.9,75,4.76,20,33.16,-9.6,112.86,6.4,7.82,-15.46,-36.32,15.45,10.86,-5.91,False
8.58,-0.64,285,3.24,20,32.06,-6.02,132.86,13.05,7.14,-21.9,-26.32,20.4,-289.14,-7.84,True
13.71,3.6,138,-4.26,2,19.9,0.7,99.86,1.88,10.76,-25.76,-25.32,2.73,-211.14,-7.04,False
16.83,0.7,81,-3.86,2,20.3,-0.46,87.86,0.72,12.88,-25.5,-25.32,2.76,-184.14,,False
-0.27,1.54,675,4.52,20,32.36,-8.52,122.86,14.1,6.44,-17.2,-26.32,22.2,-379.14,,True
14.22,2.46,21,-4.78,2,21.14,9.54,87.86,0.01,10.17,-25.16,-23.32,0.21,-175.14,,False
4.62,0.87,795,3,20,31.16,-8.3,102.86,11.8,7.7,-18.94,-36.32,18.9,-394.14,-7.29,False
13.92,1.14,24,-3.66,2,20.38,-0.12,117.86,0,16.04,-23.92,-23.32,2.76,-157.14,,False
16.35,2.79,210,-3.56,2,20.54,3.9,74.86,1.69,10.82,-31.56,-23.32,2.37,-166.14,,True
-2.49,1.92,1005,5.1,20,36.56,-10.28,227.86,5.55,4.94,-15.56,-36.32,24.75,-154.14,-7.75,True
13.14,0.75,63,-4.6,2,21.02,7.32,88.86,0.58,10.33,-26.9,-25.32,0.15,-181.14,-7.99,False
12.84,1.36,99,-5.18,2,21.02,4.16,94.86,0.15,9.96,-24.98,-23.32,2.19,-196.14,-8.34,True
14.49,1.41,39,-4.48,2,20.86,2.94,116.86,0.81,11.28,-24.28,-25.32,0.06,-181.14,-6.82,False
3.24,2.95,780,2.26,20,33.46,-7.24,137.86,9.85,6.22,-25.04,-36.32,16.5,-214.14,,False
12.69,2.13,210,-3.64,2,21.12,-0.4,114.86,0.99,11.6,-24.68,-25.32,2.07,-202.14,-9.75,True
-0.78,-0.13,30,5.16,20,32.36,-9.78,122.86,6.75,7.26,-16.22,-26.32,19.8,-274.14,,True
15.33,1.12,6,-5.58,2,19.82,-0.42,116.86,0.69,11.3,-24.88,-25.32,2.73,-181.14,-7.87,False
10.08,0.15,585,0.86,20,36.86,-9.46,257.86,8.15,5.57,-15.16,-36.32,18.6,-259.14,,True
5.1,2.19,1020,1.38,20,29.66,-6.8,297.86,14.2,7.04,-24.34,-26.32,26.55,-499.14,-6.94,False
25.53,3.93,138,-5.3,2,21.08,-0.02,120.86,1.11,10.06,-23.98,-25.32,1.83,-205.14,,False
